Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_BACT_6-16-25,blank,All Events,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-16-25,blank,R2,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-16-25,blank,R1,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-16-25,blank,R1,FSC - FSC-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-16-25,blank,R3,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-16-25,blank,R1,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-16-25,LD_H_20_1,All Events,BL1 - BL1-H,N/A,27285,50,545.700,90061,N/A,42058.39,N/A
HW_BACT_6-16-25,LD_H_20_1,R2,BL1 - BL1-H,N/A,25824,50,516.480,92449,N/A,33883.48,N/A
HW_BACT_6-16-25,LD_H_20_1,R1,BL1 - BL1-H,N/A,27285,50,545.700,90061,N/A,42058.39,N/A
HW_BACT_6-16-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,27285,50,545.700,2325,1952,1134.92,1388.04
HW_BACT_6-16-25,LD_H_20_1,R3,BL1 - BL1-H,SSC - SSC-H,25109,50,502.180,97198,1878,35565.19,1033.38
HW_BACT_6-16-25,LD_H_20_1,R1,BL1 - BL1-H,SSC - SSC-H,27285,50,545.700,90061,1952,42058.39,1388.04
HW_BACT_6-16-25,LD_H_20_2,All Events,BL1 - BL1-H,N/A,36519,50,730.380,85790,N/A,42699.28,N/A
HW_BACT_6-16-25,LD_H_20_2,R2,BL1 - BL1-H,N/A,34254,50,685.080,88988,N/A,33649.79,N/A
HW_BACT_6-16-25,LD_H_20_2,R1,BL1 - BL1-H,N/A,36519,50,730.380,85790,N/A,42699.28,N/A
HW_BACT_6-16-25,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,36519,50,730.380,2340,1969,1175.61,1440.28
HW_BACT_6-16-25,LD_H_20_2,R3,BL1 - BL1-H,SSC - SSC-H,32802,50,656.040,94040,1911,33428.93,1040.65
