Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_BACT_6-24-25_ST2,blank,All Events,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-24-25_ST2,blank,R2,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-24-25_ST2,blank,R1,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-24-25_ST2,blank,R1,FSC - FSC-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-24-25_ST2,blank,R3,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-24-25_ST2,blank,R1,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-24-25_ST2,LD_H_20_1,All Events,BL1 - BL1-H,N/A,1582,50,31.640,95476,N/A,43421.17,N/A
HW_BACT_6-24-25_ST2,LD_H_20_1,R2,BL1 - BL1-H,N/A,1512,50,30.240,99020,N/A,38668.69,N/A
HW_BACT_6-24-25_ST2,LD_H_20_1,R1,BL1 - BL1-H,N/A,1582,50,31.640,95476,N/A,43421.17,N/A
HW_BACT_6-24-25_ST2,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,1582,50,31.640,2364,1805,1195.27,1203.30
HW_BACT_6-24-25_ST2,LD_H_20_1,R3,BL1 - BL1-H,SSC - SSC-H,1438,50,28.760,104277,1748,34717.21,851.91
HW_BACT_6-24-25_ST2,LD_H_20_1,R1,BL1 - BL1-H,SSC - SSC-H,1582,50,31.640,95476,1805,43421.17,1203.30
HW_BACT_6-24-25_ST2,LD_H_20_2,All Events,BL1 - BL1-H,N/A,1353,50,27.060,90423,N/A,48543.88,N/A
HW_BACT_6-24-25_ST2,LD_H_20_2,R2,BL1 - BL1-H,N/A,1263,50,25.260,95206,N/A,41875.86,N/A
