Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_BACT_06-05-25,blank,All Events,BL1 - BL1-H,N/A,0,12,0.000,N/A,N/A,N/A,N/A
HW_BACT_06-05-25,blank,R2,BL1 - BL1-H,N/A,0,12,0.000,N/A,N/A,N/A,N/A
HW_BACT_06-05-25,blank,R1,BL1 - BL1-H,N/A,0,12,0.000,N/A,N/A,N/A,N/A
HW_BACT_06-05-25,blank,R1,FSC - FSC-H,SSC - SSC-H,0,12,0.000,N/A,N/A,N/A,N/A
HW_BACT_06-05-25,blank,R3,BL1 - BL1-H,SSC - SSC-H,0,12,0.000,N/A,N/A,N/A,N/A
HW_BACT_06-05-25,blank,R1,BL1 - BL1-H,SSC - SSC-H,0,12,0.000,N/A,N/A,N/A,N/A
HW_BACT_06-05-25,LD_H_20_1,All Events,BL1 - BL1-H,N/A,5537,50,110.740,55480,N/A,53205.87,N/A
HW_BACT_06-05-25,LD_H_20_1,R2,BL1 - BL1-H,N/A,4050,50,81.000,74580,N/A,49784.66,N/A
HW_BACT_06-05-25,LD_H_20_1,R1,BL1 - BL1-H,N/A,5537,50,110.740,55480,N/A,53205.87,N/A
HW_BACT_06-05-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,5537,50,110.740,2413,3323,1389.69,3444.72
HW_BACT_06-05-25,LD_H_20_1,R3,BL1 - BL1-H,SSC - SSC-H,2787,50,55.740,103949,1206,29161.76,819.08
HW_BACT_06-05-25,LD_H_20_1,R1,BL1 - BL1-H,SSC - SSC-H,5537,50,110.740,55480,3323,53205.87,3444.72
HW_BACT_06-05-25,LD_H_20_2,All Events,BL1 - BL1-H,N/A,7534,50,150.680,48679,N/A,50594.41,N/A
HW_BACT_06-05-25,LD_H_20_2,R2,BL1 - BL1-H,N/A,5627,50,112.540,64023,N/A,49766.21,N/A
HW_BACT_06-05-25,LD_H_20_2,R1,BL1 - BL1-H,N/A,7534,50,150.680,48679,N/A,50594.41,N/A
HW_BACT_06-05-25,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,7534,50,150.680,2366,3491,1282.14,3512.20
