Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_PYRO_6-11-25,Blank,All Events,FSC - FSC-H,SSC - SSC-H,44,159,0.277,72805,38231,77977.55,42101.73
HW_PYRO_6-11-25,Blank,R1,FSC - FSC-H,SSC - SSC-H,0,159,0.000,N/A,N/A,N/A,N/A
HW_PYRO_6-11-25,Blank,R2,BL3 - BL3-H,SSC - SSC-H,0,159,0.000,N/A,N/A,N/A,N/A
HW_PYRO_6-11-25,Blank,R1,BL3 - BL3-H,SSC - SSC-H,0,159,0.000,N/A,N/A,N/A,N/A
HW_PYRO_6-11-25,LD_H_20_1,All Events,FSC - FSC-H,SSC - SSC-H,173,159,1.088,106792,83820,123548.00,134389.94
HW_PYRO_6-11-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,8,159,0.050,385017,575689,112243.36,135890.25
HW_PYRO_6-11-25,LD_H_20_1,R2,BL3 - BL3-H,SSC - SSC-H,5,159,0.031,46243,601898,4471.31,167924.18
HW_PYRO_6-11-25,LD_H_20_1,R1,BL3 - BL3-H,SSC - SSC-H,8,159,0.050,28920,575689,24146.44,135890.25
HW_PYRO_6-11-25,LD_H_20_1,R2,AreaSquareMicrons - AreaSquareMicrons,CircularityPercent  - CircularityPercent ,5,159,0.031,972,21,346.37,6.25
HW_PYRO_6-11-25,LD_H_20_1,R2,EccentricityPercent  - EccentricityPercent ,MajorDiameterMicrons  - MajorDiameterMicrons ,5,159,0.031,66,43,22.50,3.83
HW_PYRO_6-11-25,LD_H_20_1,R2,MinorDiameterMicrons  - MinorDiameterMicrons ,PerimeterMicrons - PerimeterMicrons,5,159,0.031,29,239,10.07,35.18
HW_PYRO_6-11-25,LD_H_20_1,R2,AverageIntensity - AverageIntensity,CVIntensity - CVIntensity,5,159,0.031,309,40,29.24,5.83
HW_PYRO_6-11-25,LD_H_20_1,R2,SkewnessIntensity - SkewnessIntensity,StandardDeviationIntensity - StandardDeviationIntensity,5,159,0.031,2,122,0.30,23.05
HW_PYRO_6-11-25,LD_H_20_2,All Events,FSC - FSC-H,SSC - SSC-H,638,160,3.987,126458,60375,139365.53,125628.38
HW_PYRO_6-11-25,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,20,160,0.125,417648,620510,149563.36,124711.55
