Sample,Normal Singleton,Doublet,Dividing,"Angry/""Popcorn""",Cysting,Partial,Empty Image,Date,Triplet
LD1_H_20,0,0,0,1,0,1,1,9/15/24,0
LD2_H_20,6,0,0,2,0,2,1,9/15/24,0
LD3_H_20,0,0,0,0,0,0,0,9/15/24,0
LD1_H_25,1,0,0,3,0,2,1,9/15/24,0
LD2_H_25,1,0,0,1,0,0,0,9/15/24,0
LD3_H_25,0,0,0,3,0,0,0,9/15/24,0
LD1_H_30,0,0,0,2,0,1,1,9/15/24,0
LD2_H_30,0,0,0,2,0,0,0,9/15/24,0
LD3_H_30,0,1,0,1,0,0,0,9/15/24,0
LD1_C_20,2,0,0,0,0,0,0,9/15/24,0
LD2_C_20,0,1,0,0,0,0,0,9/15/24,0
LD3_C_20,1,0,0,4,0,1,0,9/15/24,0
LD1_C_25,0,0,0,0,0,0,0,9/15/24,0
LD2_C_25,0,0,0,3,0,1,0,9/15/24,0
LD3_C_25,0,1,0,4,0,0,0,9/15/24,0
LD1_C_30,2,0,0,5,0,0,0,9/15/24,0
LD2_C_30,0,0,0,0,0,0,0,9/15/24,0
LD3_C_30,0,0,0,0,0,1,0,9/15/24,0
D1_H_20,0,0,0,1,0,3,0,9/15/24,0
D2_H_20,0,0,0,1,0,1,1,9/15/24,0
D3_H_20,1,1,0,1,0,0,0,9/15/24,0
D1_H_25,0,0,0,0,1,1,0,9/15/24,0
D2_H_25,0,0,0,2,0,0,0,9/15/24,0
D3_H_25,1,0,0,1,0,0,1,9/15/24,0
D1_H_30,2,0,1,1,0,2,0,9/15/24,0
D2_H_30,0,0,0,2,0,1,0,9/15/24,0
D3_H_30,0,0,0,3,0,1,1,9/15/24,0
D1_C_20,2,0,0,1,0,0,0,9/15/24,0
D2_C_20,3,0,0,3,0,1,0,9/15/24,0
D3_C_20,1,0,0,0,0,0,0,9/15/24,0
D1_C_25,0,0,0,9,0,0,0,9/15/24,0
D2_C_25,0,3,0,0,0,1,1,9/15/24,0
