Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,X Mean,Y Mean,X SD,Y SD
HW_PYRO_20250713,Blank,All Events,FSC - FSC-H,SSC - SSC-H,0,160,0.000,N/A,N/A,N/A,N/A,N/A
HW_PYRO_20250713,Blank,R1,FSC - FSC-H,SSC - SSC-H,0,160,0.000,N/A,N/A,N/A,N/A,N/A
HW_PYRO_20250713,Blank,R2,BL3 - BL3-H,SSC - SSC-H,0,160,0.000,N/A,N/A,N/A,N/A,N/A
HW_PYRO_20250713,Blank,R1,BL3 - BL3-H,SSC - SSC-H,0,160,0.000,N/A,N/A,N/A,N/A,N/A
HW_PYRO_20250713,LD_H_20_1,All Events,FSC - FSC-H,SSC - SSC-H,596,160,3.725,100.000,130069,88113,135216.88,148399.35
HW_PYRO_20250713,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,29,160,0.181,4.866,330535,564429,157561.19,146470.40
HW_PYRO_20250713,LD_H_20_1,R2,BL3 - BL3-H,SSC - SSC-H,8,160,0.050,1.342,36123,644896,6680.63,140088.52
HW_PYRO_20250713,LD_H_20_1,R1,BL3 - BL3-H,SSC - SSC-H,29,160,0.181,4.866,9996,564429,16748.39,146470.40
HW_PYRO_20250713,LD_H_20_1,R2,AreaSquareMicrons,CircularityPercent ,8,160,0.050,1.342,1014,38,531.89,20.88
HW_PYRO_20250713,LD_H_20_1,R2,EccentricityPercent ,MajorDiameterMicrons ,8,160,0.050,1.342,66,41,13.83,8.20
HW_PYRO_20250713,LD_H_20_1,R2,MinorDiameterMicrons ,PerimeterMicrons,8,160,0.050,1.342,30,190,10.97,57.81
HW_PYRO_20250713,LD_H_20_1,R2,AreaSquareMicrons,CVIntensity,8,160,0.050,1.342,1014,49,531.89,8.27
HW_PYRO_20250713,LD_H_20_1,R2,SkewnessIntensity,StandardDeviationIntensity,8,160,0.050,1.342,1,166,0.64,31.04
HW_PYRO_20250713,LD_H_20_2,All Events,FSC - FSC-H,SSC - SSC-H,798,160,4.987,100.000,97130,47638,110912.09,93324.79
HW_PYRO_20250713,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,13,160,0.081,1.629,389458,496265,123013.97,115435.25
HW_PYRO_20250713,LD_H_20_2,R2,BL3 - BL3-H,SSC - SSC-H,3,160,0.019,0.376,36283,584935,2760.35,241423.35
HW_PYRO_20250713,LD_H_20_2,R1,BL3 - BL3-H,SSC - SSC-H,13,160,0.081,1.629,8462,496265,15901.57,115435.25
HW_PYRO_20250713,LD_H_20_2,R2,AreaSquareMicrons,CircularityPercent ,3,160,0.019,0.376,1021,21,53.03,7.21
HW_PYRO_20250713,LD_H_20_2,R2,EccentricityPercent ,MajorDiameterMicrons ,3,160,0.019,0.376,79,48,12.63,4.89
HW_PYRO_20250713,LD_H_20_2,R2,MinorDiameterMicrons ,PerimeterMicrons,3,160,0.019,0.376,28,254,4.27,42.82
HW_PYRO_20250713,LD_H_20_2,R2,AreaSquareMicrons,CVIntensity,3,160,0.019,0.376,1021,45,53.03,6.91
HW_PYRO_20250713,LD_H_20_2,R2,SkewnessIntensity,StandardDeviationIntensity,3,160,0.019,0.376,1,185,0.38,23.10
HW_PYRO_20250713,LD_H_20_3,All Events,FSC - FSC-H,SSC - SSC-H,969,160,6.056,100.000,134771,69762,136084.02,116028.59
HW_PYRO_20250713,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,24,160,0.150,2.477,384400,517241,132766.06,104021.19
HW_PYRO_20250713,LD_H_20_3,R2,BL3 - BL3-H,SSC - SSC-H,6,160,0.037,0.619,38929,561944,5989.09,149707.90
