Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_PYRO_07-17-25,Blank,All Events,FSC - FSC-H,SSC - SSC-H,12,159,0.075,107455,42342,97042.43,58952.19
HW_PYRO_07-17-25,Blank,R1,FSC - FSC-H,SSC - SSC-H,0,159,0.000,N/A,N/A,N/A,N/A
HW_PYRO_07-17-25,Blank,R2,BL3 - BL3-H,SSC - SSC-H,0,159,0.000,N/A,N/A,N/A,N/A
HW_PYRO_07-17-25,Blank,R1,BL3 - BL3-H,SSC - SSC-H,0,159,0.000,N/A,N/A,N/A,N/A
HW_PYRO_07-17-25,LD_H_20_1,All Events,FSC - FSC-H,SSC - SSC-H,3103,160,19.394,98627,34276,110315.92,84856.17
HW_PYRO_07-17-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,35,160,0.219,266258,554488,128008.86,119770.09
HW_PYRO_07-17-25,LD_H_20_1,R2,BL3 - BL3-H,SSC - SSC-H,11,160,0.069,37142,631471,4389.20,122449.61
HW_PYRO_07-17-25,LD_H_20_1,R1,BL3 - BL3-H,SSC - SSC-H,35,160,0.219,11721,554488,17623.06,119770.09
HW_PYRO_07-17-25,LD_H_20_1,R2,AreaSquareMicrons,CircularityPercent ,11,160,0.069,779,22,100.19,6.03
HW_PYRO_07-17-25,LD_H_20_1,R2,EccentricityPercent ,MajorDiameterMicrons ,11,160,0.069,78,42,11.75,5.94
HW_PYRO_07-17-25,LD_H_20_1,R2,MinorDiameterMicrons ,PerimeterMicrons,11,160,0.069,24,212,4.64,22.71
HW_PYRO_07-17-25,LD_H_20_1,R2,AverageIntensity,CVIntensity,11,160,0.069,353,45,32.70,6.22
HW_PYRO_07-17-25,LD_H_20_1,R2,SkewnessIntensity,StandardDeviationIntensity,11,160,0.069,1,157,0.31,16.29
HW_PYRO_07-17-25,LD_H_20_2,All Events,FSC - FSC-H,SSC - SSC-H,1439,159,9.050,129796,63426,124119.37,106684.11
HW_PYRO_07-17-25,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,23,159,0.145,356491,569230,139941.13,178315.57
HW_PYRO_07-17-25,LD_H_20_2,R2,BL3 - BL3-H,SSC - SSC-H,6,159,0.038,34981,580652,10376.68,178737.85
HW_PYRO_07-17-25,LD_H_20_2,R1,BL3 - BL3-H,SSC - SSC-H,23,159,0.145,10573,569230,17014.19,178315.57
HW_PYRO_07-17-25,LD_H_20_2,R2,AreaSquareMicrons,CircularityPercent ,6,159,0.038,1300,46,272.65,21.83
HW_PYRO_07-17-25,LD_H_20_2,R2,EccentricityPercent ,MajorDiameterMicrons ,6,159,0.038,63,48,19.44,3.79
HW_PYRO_07-17-25,LD_H_20_2,R2,MinorDiameterMicrons ,PerimeterMicrons,6,159,0.038,35,200,7.88,36.00
HW_PYRO_07-17-25,LD_H_20_2,R2,AverageIntensity,CVIntensity,6,159,0.038,390,41,29.15,3.00
HW_PYRO_07-17-25,LD_H_20_2,R2,SkewnessIntensity,StandardDeviationIntensity,6,159,0.038,1,158,0.28,17.61
HW_PYRO_07-17-25,LD_H_20_3,All Events,FSC - FSC-H,SSC - SSC-H,3861,160,24.131,95428,30929,105104.51,79279.92
HW_PYRO_07-17-25,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,33,160,0.206,292030,590519,168301.13,147597.85
HW_PYRO_07-17-25,LD_H_20_3,R2,BL3 - BL3-H,SSC - SSC-H,17,160,0.106,35323,618033,10637.35,134794.79
HW_PYRO_07-17-25,LD_H_20_3,R1,BL3 - BL3-H,SSC - SSC-H,33,160,0.206,18225,590519,19413.18,147597.85
HW_PYRO_07-17-25,LD_H_20_3,R2,AreaSquareMicrons,CircularityPercent ,17,160,0.106,594,27,524.90,25.84
HW_PYRO_07-17-25,LD_H_20_3,R2,EccentricityPercent ,MajorDiameterMicrons ,17,160,0.106,58,29,35.38,18.40
HW_PYRO_07-17-25,LD_H_20_3,R2,MinorDiameterMicrons ,PerimeterMicrons,17,160,0.106,18,129,14.49,91.15
HW_PYRO_07-17-25,LD_H_20_3,R2,AverageIntensity,CVIntensity,17,160,0.106,262,39,183.56,29.00
HW_PYRO_07-17-25,LD_H_20_3,R2,SkewnessIntensity,StandardDeviationIntensity,17,160,0.106,1,120,0.70,75.60
HW_PYRO_07-17-25,LD_H_25_1,All Events,FSC - FSC-H,SSC - SSC-H,4022,160,25.137,88014,31463,97204.30,92434.19
HW_PYRO_07-17-25,LD_H_25_1,R1,FSC - FSC-H,SSC - SSC-H,84,160,0.525,342962,561505,142810.58,84527.14
HW_PYRO_07-17-25,LD_H_25_1,R2,BL3 - BL3-H,SSC - SSC-H,62,160,0.388,46014,573245,7177.85,79215.07
HW_PYRO_07-17-25,LD_H_25_1,R1,BL3 - BL3-H,SSC - SSC-H,84,160,0.525,33987,561505,21222.68,84527.14
HW_PYRO_07-17-25,LD_H_25_1,R2,AreaSquareMicrons,CircularityPercent ,62,160,0.388,859,29,394.94,15.71
HW_PYRO_07-17-25,LD_H_25_1,R2,EccentricityPercent ,MajorDiameterMicrons ,62,160,0.388,68,38,21.66,11.72
HW_PYRO_07-17-25,LD_H_25_1,R2,MinorDiameterMicrons ,PerimeterMicrons,62,160,0.388,26,186,9.97,65.15
HW_PYRO_07-17-25,LD_H_25_1,R2,AverageIntensity,CVIntensity,62,160,0.388,309,48,88.41,15.51
HW_PYRO_07-17-25,LD_H_25_1,R2,SkewnessIntensity,StandardDeviationIntensity,62,160,0.388,1,157,0.46,48.16
HW_PYRO_07-17-25,LD_H_25_2,All Events,FSC - FSC-H,SSC - SSC-H,5321,159,33.465,88469,33293,94079.79,93932.47
HW_PYRO_07-17-25,LD_H_25_2,R1,FSC - FSC-H,SSC - SSC-H,97,159,0.610,356994,572283,115062.89,108334.89
HW_PYRO_07-17-25,LD_H_25_2,R2,BL3 - BL3-H,SSC - SSC-H,64,159,0.403,38585,570048,9983.85,98975.43
HW_PYRO_07-17-25,LD_H_25_2,R1,BL3 - BL3-H,SSC - SSC-H,97,159,0.610,25704,572283,19784.62,108334.89
HW_PYRO_07-17-25,LD_H_25_2,R2,AreaSquareMicrons,CircularityPercent ,64,159,0.403,825,33,390.44,18.48
HW_PYRO_07-17-25,LD_H_25_2,R2,EccentricityPercent ,MajorDiameterMicrons ,64,159,0.403,69,38,20.50,10.98
HW_PYRO_07-17-25,LD_H_25_2,R2,MinorDiameterMicrons ,PerimeterMicrons,64,159,0.403,25,178,9.37,67.77
HW_PYRO_07-17-25,LD_H_25_2,R2,AverageIntensity,CVIntensity,64,159,0.403,320,46,85.34,13.18
HW_PYRO_07-17-25,LD_H_25_2,R2,SkewnessIntensity,StandardDeviationIntensity,64,159,0.403,1,154,0.49,45.13
HW_PYRO_07-17-25,LD_H_25_3,All Events,FSC - FSC-H,SSC - SSC-H,0,6,0.000,N/A,N/A,N/A,N/A
HW_PYRO_07-17-25,LD_H_25_3,R1,FSC - FSC-H,SSC - SSC-H,0,6,0.000,N/A,N/A,N/A,N/A
HW_PYRO_07-17-25,LD_H_25_3,R2,BL3 - BL3-H,SSC - SSC-H,0,6,0.000,N/A,N/A,N/A,N/A
HW_PYRO_07-17-25,LD_H_25_3,R1,BL3 - BL3-H,SSC - SSC-H,0,6,0.000,N/A,N/A,N/A,N/A
HW_PYRO_07-17-25,LD_H_30_1,All Events,FSC - FSC-H,SSC - SSC-H,1702,159,10.704,115145,105411,108872.37,129708.95
HW_PYRO_07-17-25,LD_H_30_1,R1,FSC - FSC-H,SSC - SSC-H,70,159,0.440,290261,541483,141680.86,101864.03
HW_PYRO_07-17-25,LD_H_30_1,R2,BL3 - BL3-H,SSC - SSC-H,26,159,0.164,42556,582376,6123.80,112257.77
HW_PYRO_07-17-25,LD_H_30_1,R1,BL3 - BL3-H,SSC - SSC-H,70,159,0.440,15834,541483,21015.53,101864.03
