Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_PYRO_6-13-25,Blank,All Events,FSC - FSC-H,SSC - SSC-H,102,159,0.642,242755,124713,217593.71,156652.5
HW_PYRO_6-13-25,Blank,R1,FSC - FSC-H,SSC - SSC-H,6,159,0.038,498715,557081,138471.51,121438.17
HW_PYRO_6-13-25,Blank,R2,BL3 - BL3-H,SSC - SSC-H,0,159,0,N/A,N/A,N/A,N/A
HW_PYRO_6-13-25,Blank,R1,BL3 - BL3-H,SSC - SSC-H,6,159,0.038,58,557081,10.15,121438.17
HW_PYRO_6-13-25,LD_H_20_1,All Events,FSC - FSC-H,SSC - SSC-H,437,159,2.748,111361,65379,124359.84,132601.36
HW_PYRO_6-13-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,14,159,0.088,337448,647191,94625.75,178269.44
HW_PYRO_6-13-25,LD_H_20_1,R2,BL3 - BL3-H,SSC - SSC-H,9,159,0.057,43631,698883,4410.16,172331.97
HW_PYRO_6-13-25,LD_H_20_1,R1,BL3 - BL3-H,SSC - SSC-H,14,159,0.088,28064,647191,21947.95,178269.44
HW_PYRO_6-13-25,LD_H_20_1,R2,AreaSquareMicrons - AreaSquareMicrons,CircularityPercent  - CircularityPercent ,9,159,0.057,953,33,510.34,17.94
HW_PYRO_6-13-25,LD_H_20_1,R2,EccentricityPercent  - EccentricityPercent ,MajorDiameterMicrons  - MajorDiameterMicrons ,9,159,0.057,73,42,13.97,7.27
HW_PYRO_6-13-25,LD_H_20_1,R2,MinorDiameterMicrons  - MinorDiameterMicrons ,PerimeterMicrons - PerimeterMicrons,9,159,0.057,28,196,9.24,41.91
HW_PYRO_6-13-25,LD_H_20_1,R2,AverageIntensity - AverageIntensity,CVIntensity - CVIntensity,9,159,0.057,328,45,53.53,10.79
HW_PYRO_6-13-25,LD_H_20_1,R2,SkewnessIntensity - SkewnessIntensity,StandardDeviationIntensity - StandardDeviationIntensity,9,159,0.057,2,143,0.32,25.93
HW_PYRO_6-13-25,LD_H_20_2,All Events,FSC - FSC-H,SSC - SSC-H,859,159,5.403,125927,64165,137991.67,115422.92
HW_PYRO_6-13-25,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,23,159,0.145,441402,567893,184727.63,107414.14
HW_PYRO_6-13-25,LD_H_20_2,R2,BL3 - BL3-H,SSC - SSC-H,7,159,0.044,47267,642508,7652.85,112986.81
HW_PYRO_6-13-25,LD_H_20_2,R1,BL3 - BL3-H,SSC - SSC-H,23,159,0.145,14421,567893,22570.58,107414.14
HW_PYRO_6-13-25,LD_H_20_2,R2,AreaSquareMicrons,CircularityPercent ,7,159,0.044,943,23,183.95,6.14
HW_PYRO_6-13-25,LD_H_20_2,R2,EccentricityPercent ,MajorDiameterMicrons ,7,159,0.044,72,43,14.06,4.81
HW_PYRO_6-13-25,LD_H_20_2,R2,MinorDiameterMicrons ,PerimeterMicrons,7,159,0.044,28,229,5.32,26.97
HW_PYRO_6-13-25,LD_H_20_2,R2,AverageIntensity,CVIntensity,7,159,0.044,334,45,39.67,4.09
HW_PYRO_6-13-25,LD_H_20_2,R2,SkewnessIntensity,StandardDeviationIntensity,7,159,0.044,2,149,0.48,24.46
HW_PYRO_6-13-25,LD_H_20_3,All Events,FSC - FSC-H,SSC - SSC-H,2256,159,14.189,103744,33600,109533.48,83194.3
HW_PYRO_6-13-25,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,29,159,0.182,442730,549612,129362.03,119726.73
HW_PYRO_6-13-25,LD_H_20_3,R2,BL3 - BL3-H,SSC - SSC-H,12,159,0.075,38112,571848,13628.55,138095.16
HW_PYRO_6-13-25,LD_H_20_3,R1,BL3 - BL3-H,SSC - SSC-H,29,159,0.182,15798,549612,20904.81,119726.73
HW_PYRO_6-13-25,LD_H_20_3,R2,AreaSquareMicrons,CircularityPercent ,12,159,0.075,837,27,448.93,17.29
HW_PYRO_6-13-25,LD_H_20_3,R2,EccentricityPercent ,MajorDiameterMicrons ,12,159,0.075,59,37,32.58,17.65
HW_PYRO_6-13-25,LD_H_20_3,R2,MinorDiameterMicrons ,PerimeterMicrons,12,159,0.075,24,175,13.2,96.59
HW_PYRO_6-13-25,LD_H_20_3,R2,AverageIntensity,CVIntensity,12,159,0.075,306,38,145.22,18.07
HW_PYRO_6-13-25,LD_H_20_3,R2,SkewnessIntensity,StandardDeviationIntensity,12,159,0.075,1,139,0.57,65.72
HW_PYRO_6-13-25,LD_H_25_1,All Events,FSC - FSC-H,SSC - SSC-H,1519,160,9.494,78047,37980,82408.77,97692.39
HW_PYRO_6-13-25,LD_H_25_1,R1,FSC - FSC-H,SSC - SSC-H,30,160,0.188,347807,592482,104963.99,109296.79
HW_PYRO_6-13-25,LD_H_25_1,R2,BL3 - BL3-H,SSC - SSC-H,19,160,0.119,44848,634918,4195.32,85480.65
HW_PYRO_6-13-25,LD_H_25_1,R1,BL3 - BL3-H,SSC - SSC-H,30,160,0.188,28979,592482,21531.09,109296.79
HW_PYRO_6-13-25,LD_H_25_1,R2,AreaSquareMicrons,CircularityPercent ,19,160,0.119,880,28,417.85,20.23
HW_PYRO_6-13-25,LD_H_25_1,R2,EccentricityPercent ,MajorDiameterMicrons ,19,160,0.119,52,35,27.16,13.83
HW_PYRO_6-13-25,LD_H_25_1,R2,MinorDiameterMicrons ,PerimeterMicrons,19,160,0.119,28,189,12.17,84.01
HW_PYRO_6-13-25,LD_H_25_1,R2,AverageIntensity,CVIntensity,19,160,0.119,322,43,149.51,16.24
HW_PYRO_6-13-25,LD_H_25_1,R2,SkewnessIntensity,StandardDeviationIntensity,19,160,0.119,1,150,0.71,61.18
HW_PYRO_6-13-25,LD_H_25_2,All Events,FSC - FSC-H,SSC - SSC-H,1519,159,9.553,95479,31784,101982.5,72364.39
HW_PYRO_6-13-25,LD_H_25_2,R1,FSC - FSC-H,SSC - SSC-H,10,159,0.063,283579,550891,127385.46,117823.99
HW_PYRO_6-13-25,LD_H_25_2,R2,BL3 - BL3-H,SSC - SSC-H,4,159,0.025,38392,531041,4965.9,48545.78
HW_PYRO_6-13-25,LD_H_25_2,R1,BL3 - BL3-H,SSC - SSC-H,10,159,0.063,15540,550891,19881.53,117823.99
HW_PYRO_6-13-25,LD_H_25_2,R2,AreaSquareMicrons,CircularityPercent ,4,159,0.025,549,19,504.57,13.62
HW_PYRO_6-13-25,LD_H_25_2,R2,EccentricityPercent ,MajorDiameterMicrons ,4,159,0.025,53,29,40.32,19.17
HW_PYRO_6-13-25,LD_H_25_2,R2,MinorDiameterMicrons ,PerimeterMicrons,4,159,0.025,18,141,16.28,113.95
HW_PYRO_6-13-25,LD_H_25_2,R2,AverageIntensity,CVIntensity,4,159,0.025,232,35,155.16,24.15
HW_PYRO_6-13-25,LD_H_25_2,R2,SkewnessIntensity,StandardDeviationIntensity,4,159,0.025,1,109,0.85,73.45
HW_PYRO_6-13-25,LD_H_25_3,All Events,FSC - FSC-H,SSC - SSC-H,896,159,5.635,85783,36451,90478.18,79052.44
HW_PYRO_6-13-25,LD_H_25_3,R1,FSC - FSC-H,SSC - SSC-H,8,159,0.05,321163,575689,77997.2,112327.96
HW_PYRO_6-13-25,LD_H_25_3,R2,BL3 - BL3-H,SSC - SSC-H,5,159,0.031,42449,647283,2863.93,64405.86
HW_PYRO_6-13-25,LD_H_25_3,R1,BL3 - BL3-H,SSC - SSC-H,8,159,0.05,26544,575689,22058.72,112327.96
HW_PYRO_6-13-25,LD_H_25_3,R2,AreaSquareMicrons,CircularityPercent ,5,159,0.031,993,33,361.11,8.1
HW_PYRO_6-13-25,LD_H_25_3,R2,EccentricityPercent ,MajorDiameterMicrons ,5,159,0.031,70,44,20.88,1.3
HW_PYRO_6-13-25,LD_H_25_3,R2,MinorDiameterMicrons ,PerimeterMicrons,5,159,0.031,29,198,10.14,53.54
HW_PYRO_6-13-25,LD_H_25_3,R2,AverageIntensity,CVIntensity,5,159,0.031,328,54,50.02,9.25
HW_PYRO_6-13-25,LD_H_25_3,R2,SkewnessIntensity,StandardDeviationIntensity,5,159,0.031,1,174,0.43,12.72
HW_PYRO_6-13-25,LD_H_30_1,All Events,FSC - FSC-H,SSC - SSC-H,889,159,5.591,101986,62493,110011.69,126609.39
HW_PYRO_6-13-25,LD_H_30_1,R1,FSC - FSC-H,SSC - SSC-H,28,159,0.176,370750,609531,137029.46,147410.2
HW_PYRO_6-13-25,LD_H_30_1,R2,BL3 - BL3-H,SSC - SSC-H,21,159,0.132,43971,647982,8675.65,145709.77
HW_PYRO_6-13-25,LD_H_30_1,R1,BL3 - BL3-H,SSC - SSC-H,28,159,0.176,32990,609531,20757.6,147410.2
HW_PYRO_6-13-25,LD_H_30_1,R2,AreaSquareMicrons,CircularityPercent ,21,159,0.132,888,28,535.53,22.72
HW_PYRO_6-13-25,LD_H_30_1,R2,EccentricityPercent ,MajorDiameterMicrons ,21,159,0.132,58,36,28.9,16.15
HW_PYRO_6-13-25,LD_H_30_1,R2,MinorDiameterMicrons ,PerimeterMicrons,21,159,0.132,26,183,14.29,99.36
HW_PYRO_6-13-25,LD_H_30_1,R2,AverageIntensity,CVIntensity,21,159,0.132,292,40,133.02,19.52
HW_PYRO_6-13-25,LD_H_30_1,R2,SkewnessIntensity,StandardDeviationIntensity,21,159,0.132,1,132,0.68,60.52
HW_PYRO_6-13-25,LD_H_30_2,All Events,FSC - FSC-H,SSC - SSC-H,1312,159,8.252,93519,57172,94664.25,125026.82
HW_PYRO_6-13-25,LD_H_30_2,R1,FSC - FSC-H,SSC - SSC-H,45,159,0.283,338952,602840,112652.93,106624.21
HW_PYRO_6-13-25,LD_H_30_2,R2,BL3 - BL3-H,SSC - SSC-H,40,159,0.252,43141,594293,5646.94,82887.89
HW_PYRO_6-13-25,LD_H_30_2,R1,BL3 - BL3-H,SSC - SSC-H,45,159,0.283,38422,602840,14514.11,106624.21
HW_PYRO_6-13-25,LD_H_30_2,R2,AreaSquareMicrons,CircularityPercent ,40,159,0.252,943,29,454.62,19.11
HW_PYRO_6-13-25,LD_H_30_2,R2,EccentricityPercent ,MajorDiameterMicrons ,40,159,0.252,55,38,23.58,12.3
HW_PYRO_6-13-25,LD_H_30_2,R2,MinorDiameterMicrons ,PerimeterMicrons,40,159,0.252,29,199,11.21,70.3
HW_PYRO_6-13-25,LD_H_30_2,R2,AverageIntensity,CVIntensity,40,159,0.252,306,46,93.66,15.94
HW_PYRO_6-13-25,LD_H_30_2,R2,SkewnessIntensity,StandardDeviationIntensity,40,159,0.252,1,150,0.51,47.74
HW_PYRO_6-13-25,LD_H_30_3,All Events,FSC - FSC-H,SSC - SSC-H,667,159,4.195,110484,72071,105526.63,118698.28
HW_PYRO_6-13-25,LD_H_30_3,R1,FSC - FSC-H,SSC - SSC-H,17,159,0.107,304960,600150,84100.25,120810.87
HW_PYRO_6-13-25,LD_H_30_3,R2,BL3 - BL3-H,SSC - SSC-H,12,159,0.075,47086,639924,6368.79,106824.25
HW_PYRO_6-13-25,LD_H_30_3,R1,BL3 - BL3-H,SSC - SSC-H,17,159,0.107,33246,600150,22721.33,120810.87
HW_PYRO_6-13-25,LD_H_30_3,R2,AreaSquareMicrons,CircularityPercent ,12,159,0.075,905,31,415.85,20.27
HW_PYRO_6-13-25,LD_H_30_3,R2,EccentricityPercent ,MajorDiameterMicrons ,12,159,0.075,57,38,27.81,12.92
HW_PYRO_6-13-25,LD_H_30_3,R2,MinorDiameterMicrons ,PerimeterMicrons,12,159,0.075,28,188,12.33,84.79
HW_PYRO_6-13-25,LD_H_30_3,R2,AverageIntensity,CVIntensity,12,159,0.075,295,45,99.02,15.41
HW_PYRO_6-13-25,LD_H_30_3,R2,SkewnessIntensity,StandardDeviationIntensity,12,159,0.075,1,145,0.59,49.06
HW_PYRO_6-13-25,LD_C_20_1,All Events,FSC - FSC-H,SSC - SSC-H,83,160,0.519,150599,86985,168330.86,165857.95
HW_PYRO_6-13-25,LD_C_20_1,R1,FSC - FSC-H,SSC - SSC-H,5,160,0.031,310430,636255,129823.72,225735.4
HW_PYRO_6-13-25,LD_C_20_1,R2,BL3 - BL3-H,SSC - SSC-H,3,160,0.019,44589,752058,671.85,226728.28
HW_PYRO_6-13-25,LD_C_20_1,R1,BL3 - BL3-H,SSC - SSC-H,5,160,0.031,26770,636255,24403.57,225735.4
HW_PYRO_6-13-25,LD_C_20_1,R2,AreaSquareMicrons,CircularityPercent ,3,160,0.019,936,26,283.11,5.28
HW_PYRO_6-13-25,LD_C_20_1,R2,EccentricityPercent ,MajorDiameterMicrons ,3,160,0.019,78,45,14.11,1.34
HW_PYRO_6-13-25,LD_C_20_1,R2,MinorDiameterMicrons ,PerimeterMicrons,3,160,0.019,27,216,8.66,51.09
HW_PYRO_6-13-25,LD_C_20_1,R2,AverageIntensity,CVIntensity,3,160,0.019,328,39,24.77,7.16
HW_PYRO_6-13-25,LD_C_20_1,R2,SkewnessIntensity,StandardDeviationIntensity,3,160,0.019,2,128,0.38,27.22
HW_PYRO_6-13-25,LD_C_25_2,All Events,FSC - FSC-H,SSC - SSC-H,849,160,5.306,111311,29366,117882.33,82039.82
HW_PYRO_6-13-25,LD_C_25_2,R1,FSC - FSC-H,SSC - SSC-H,12,160,0.075,228950,558809,146358.89,166622.53
HW_PYRO_6-13-25,LD_C_25_2,R2,BL3 - BL3-H,SSC - SSC-H,0,160,0,N/A,N/A,N/A,N/A
HW_PYRO_6-13-25,LD_C_25_2,R1,BL3 - BL3-H,SSC - SSC-H,12,160,0.075,38,558809,9.56,166622.53
HW_PYRO_6-13-25,LD_C_25_3,All Events,FSC - FSC-H,SSC - SSC-H,709,160,4.431,119340,33836,127431.51,97094.42
HW_PYRO_6-13-25,LD_C_25_3,R1,FSC - FSC-H,SSC - SSC-H,14,160,0.087,260628,613750,195106.18,123714.72
HW_PYRO_6-13-25,LD_C_25_3,R2,BL3 - BL3-H,SSC - SSC-H,3,160,0.019,47710,633650,6133.7,99908.22
HW_PYRO_6-13-25,LD_C_25_3,R1,BL3 - BL3-H,SSC - SSC-H,14,160,0.087,10257,613750,20439.91,123714.72
HW_PYRO_6-13-25,LD_C_25_3,R2,AreaSquareMicrons,CircularityPercent ,3,160,0.019,1076,37,324.98,14.91
HW_PYRO_6-13-25,LD_C_25_3,R2,EccentricityPercent ,MajorDiameterMicrons ,3,160,0.019,73,47,22.77,3.28
HW_PYRO_6-13-25,LD_C_25_3,R2,MinorDiameterMicrons ,PerimeterMicrons,3,160,0.019,29,201,9.58,63.58
